Stock,Company Name,% of Portfolio,Shares Owned,Value Owned,Latest Activity,Date
AAPL,Apple Inc,25.76%,300,$ 66.64,0%,2025-03-31
AXP,American Express Co,15.77%,151.61,$ 40.79,0%,2025-03-31
KO,Coca Cola Co,11.07%,400,$ 28.65,0%,2025-03-31
BAC,Bank America Corp,10.19%,631.57,$ 26.36,"-7.15% (-48.66
)",2025-03-31
CVX,Chevron Corp New,7.67%,118.61,$ 19.84,0%,2025-03-31
OXY,Occidental Pete Corp,5.06%,264.94,$ 13.08,"0.29% (+763.02
)",2025-03-31
MCO,Moodys Corp,4.44%,24.67,$ 11.49,0%,2025-03-31
KHC,Kraft Heinz Co,3.83%,325.63,$ 9.91,0%,2025-03-31
CB,Chubb Limited,3.16%,27.03,$ 8.16,0%,2025-03-31
DVA,Davita Inc,1.91%,33.80,$ 4.93,"-3.83% (-1.35
)",2025-05-27
KR,Kroger Co,1.31%,50,$ 3.38,0%,2025-03-31
VRSN,Verisign Inc,1.30%,13.29,$ 3.37,"0.14% (+18.42
)",2025-03-31
V,Visa Inc,1.12%,8.30,$ 2.91,0%,2025-03-31
SIRI,Siriusxm Holdings Inc,1.04%,119.78,$ 2.70,"1.96% (+2.31
)",2025-03-31
STZ,Constellation Brands Inc,0.85%,12.01,$ 2.20,"113.52% (+6.38
)",2025-03-31
MA,Mastercard Incorporated,0.84%,3.99,$ 2.19,0%,2025-03-31
AMZN,Amazon Com Inc,0.74%,10,$ 1.90,0%,2025-03-31
AON,Aon Plc,0.63%,4.10,$ 1.64,0%,2025-03-31
COF,Capital One Finl Corp,0.50%,7.15,$ 1.28,"-4.03% (-300
)",2025-03-31
DPZ,Dominos Pizza Inc,0.47%,2.62,$ 1.20,"10.02% (+238.61
)",2025-03-31
ALLY,Ally Finl Inc,0.41%,29,$ 1.06,0%,2025-03-31
TMUS,T-mobile Us Inc,0.40%,3.88,$ 1.04,"-10.73% (-466.86
)",2025-03-31
LLYVK,Liberty Media Corp Del,0.29%,10.92,$ 743.93,0%,2025-03-31
CHTR,Charter Communications Inc N,0.28%,1.98,$ 731.26,"-0.38% (-7.50
)",2025-03-31
LPX,Louisiana Pac Corp,0.20%,5.66,$ 521.05,0%,2025-03-31
POOL,Pool Corp,0.18%,1.46,$ 466.06,"144.53% (+865.31
)",2025-03-31
LLYVA,Liberty Media Corp Del,0.13%,4.99,$ 335.30,0%,2025-03-31
FWONK,Liberty Media Corp Del,0.12%,3.51,$ 316.12,"-48.36% (-3.29
)",2025-03-31
HEIA,Heico Corp New,0.09%,1.16,$ 245.17,"10.71% (+112.40
)",2025-03-31
NVR,Nvr Inc,0.03%,11.11,$ 80.50,0%,2025-03-31
DEO,Diageo Plc,<.01%,227.75,$ 23.87,0%,2025-03-31
JEF,Jefferies Finl Group Inc,<.01%,433.56,$ 23.23,0%,2025-03-31
LILA,Liberty Latin America Ltd,<.01%,2.63,$ 16.65,0%,2025-03-31
LENB,Lennar Corp,<.01%,152.57,$ 16.64,0%,2025-03-31
BATRK,Atlanta Braves Hldgs Inc,<.01%,223.65,$ 8.95,0%,2025-03-31
LILAK,Liberty Latin America Ltd,<.01%,1.28,$ 7.97,0%,2025-03-31
NU,Nu Hldgs Ltd,0.00%,0,$ 0,"-100% (-40.18
)",2025-03-31
C,Citigroup Inc,0.00%,0,$ 0,"-100% (-14.64
)",2025-03-31
